"";"author";"title";"date";"filename";"century";"words";"number_of_nodes";"normalized_number_of_nodes";"density";"assortativity_coefficient";"average_shortest_path_length";"diameter";"transitivity";"mean_degree";"mean_clustering";"max_clustering";"size_gcc";"strongly_connected_components"
"0";"José de Anchieta";"Feitos de Mem de Sá";"1560";"anchieta1560.txt";"16th Century";"27163";"3456";"0.12723189632956594";"0.0012500334994908077";"-0.03713972278838318";"4.362009923648377";"11.0";"0.040847651775486826";"8.387253934454733";"0.07377806782593214";"2.0";"0.9994212962962963";"3"
"1";"José de Anchieta";"Auto de Sao Lourenco";"1586";"anchieta1586.txt";"16th Century";"6896";"1362";"0.19750580046403712";"0.002058605521335375";"-0.10312209433421363";"4.543552785352552";"11.5";"0.039228595448145935";"5.458763373190687";"0.11553806943185496";"2.0";"0.9985315712187959";"3"
"2";"Joao de Barros";"Gramática";"1540";"barros1540.txt";"16th Century";"51060";"4493";"0.08799451625538582";"0.0011563946608150128";"-0.11821362986805246";"3.874706503973035";"10.916666666666668";"0.0620393476293323";"9.841434309859892";"0.19854538283374526";"2.0";"1.0";"1"
"3";"Pero Vaz de Caminha";"Carta a Manuel I";"1550";"caminha1500.txt";"16th Century";"7915";"900";"0.11370814908401769";"0.004595229267086887";"-0.04227540887941822";"4.063947596094426";"13.033333333333333";"0.10394095613999758";"7.736765512265512";"0.17758569649626016";"2.0";"1.0";"1"
"4";"Luis de Camoes";"Os Lusíadas";"1572";"camoes1572.txt";"16th Century";"55474";"3878";"0.06990662292245016";"0.0018439633479361431";"-0.12524989308596357";"3.6013213194268654";"10.635964912280702";"0.07952328803950329";"13.557789588694115";"0.21768687436128212";"2.0";"0.9997421351211965";"2"
"5";"Luís de Camoes";"Sonetos";"1550";"camoes16th.txt";"16th Century";"15198";"1691";"0.11126464008422161";"0.0026527491523170004";"-0.08514711380487638";"4.038595908026832";"12.5";"0.08299603628939925";"8.514995178443538";"0.17856178393590819";"2.0";"1.0";"1"
"6";"Pero de Magalhaes Gandavo";"História da Província Santa Cruz";"1576";"gandavo1576.txt";"16th Century";"21537";"1799";"0.08353066815248178";"0.0025851712204469053";"-0.14906697357034224";"3.7696297720708762";"9.55";"0.08809657456556119";"8.725761187749788";"0.247148841884203";"2.0";"1.0";"1"
"7";"Francisco Guerreiro";"Itinerário da Viagem que Fez a Jerusalém o M.R.P.";"1550";"guerreiro16th.txt";"16th Century";"17304";"1384";"0.07998150716597319";"0.0032793959683857245";"-0.12807527829058568";"3.818446745994926";"10.0";"0.09692196051159556";"8.48393553824364";"0.2592503520181691";"2.0";"1.0";"1"
"8";"Francisco de Holanda";"Da Pintura Antiga";"1548";"holanda1548.txt";"16th Century";"49038";"2473";"0.05043027855948448";"0.0026403278383892318";"-0.15926520115988563";"3.532599976182905";"11.51123595505618";"0.11158785116360609";"11.965486213683874";"0.37585621069932085";"2.0";"1.0";"1"
"9";"Fernao Mendes Pinto";"Peregrinacao";"1510";"pinto1510.txt";"16th Century";"44212";"2582";"0.058400434271238574";"0.002568672756372838";"-0.1324156600523478";"3.633663118222871";"11.11111111111111";"0.11491004368651299";"11.974297645812689";"0.2969324406221897";"2.0";"1.0";"1"
